positions_part_number,service_call_category,total_cost_in_euros,total_service_count
425,Breakdown,3489.029854,333.5056522
426,Breakdown,3478.218935,484.4352174
427,Breakdown,3468.945652,36.51521739
428,Breakdown,3455.070062,53.55565217
429,Breakdown,3408.820243,70.59608696
430,Retrofit,3387.395,9.737391304
431,Breakdown,3387.131031,116.8486957
432,Installation / Commissioning,3350.835512,14.60608696
433,Breakdown,3344.494474,19.47478261
434,Breakdown,3343.804594,255.6065217
435,Inspection / Maintenance,3327.107853,2.434347826
436,Breakdown,3324.892044,267.7782609
437,Breakdown,3318.405583,48.68695652
438,Breakdown,3316.888066,2.434347826
439,Breakdown,3309.241565,34.08086957
440,Breakdown,3307.96223,12.17173913
441,Breakdown,3296.612485,12.17173913
442,Breakdown,3296.041022,51.12130435
443,Breakdown,3289.446019,24.34347826
444,Breakdown,3282.669357,2.434347826
445,Inspection / Maintenance,3272.046771,21.90913043
446,Inspection / Maintenance,3228.933292,421.1421739
447,Breakdown,3220.109636,26.77782609
448,Inspection / Maintenance,3213.45529,1287.77
449,Breakdown,3212.435992,7.303043478
450,Breakdown,3211.175906,68.16173913
451,Breakdown,3202.77531,17.04043478
452,Inspection / Maintenance,3185.199676,219.0913043
453,Breakdown,3177.883273,26.77782609
454,Breakdown,3165.407486,9.737391304
455,Breakdown,3165.276246,119.2830435
456,Breakdown,3139.280086,14.60608696
457,Inspection / Maintenance,3131.686817,2.434347826
458,Breakdown,3114.582712,90.07086957
459,Accessories,3103.072987,43.81826087
460,Breakdown,3079.14383,121.7173913
461,Breakdown,3069.059631,138.7578261
462,Breakdown,3048.929715,158.2326087
463,Breakdown,3045.442161,7.303043478
464,Breakdown,3042.465869,21.90913043
465,Breakdown,3037.775978,12.17173913
466,Breakdown,3035.959636,141.1921739
467,Breakdown,3034.793676,51.12130435
468,Breakdown,3022.202348,679.1830435
469,Breakdown,3004.316724,92.50521739
470,Breakdown,2997.515765,77.89913043
471,Installation / Commissioning,2990.461113,21.90913043
472,Breakdown,2985.829106,163.1013043
473,Breakdown,2979.7878,29.21217391
474,Breakdown,2973.720159,31.64652174
475,Breakdown,2959.819923,34.08086957
476,Inspection / Maintenance,2951.588286,163.1013043
477,Breakdown,2943.224378,423.5765217
478,Breakdown,2940.093758,2071.63
479,Breakdown,2920.525713,46.2526087
480,Breakdown,2919.240185,24.34347826
481,Breakdown,2904.540122,65.7273913
482,Breakdown,2899.658919,43.81826087
483,Breakdown,2885.675913,36.51521739
484,Breakdown,2880.709843,90.07086957
485,Breakdown,2878.176836,41.38391304
486,Breakdown,2877.204383,31.64652174
487,Breakdown,2851.957598,31.64652174
488,Breakdown,2851.060872,73.03043478
489,Breakdown,2844.803213,14.60608696
490,Breakdown,2833.537833,48.68695652
491,Accessories,2831.124673,41.38391304
492,Breakdown,2826.569948,2.434347826
493,Breakdown,2823.095819,34.08086957
494,Breakdown,2813.7286,43.81826087
495,Installation / Commissioning,2810.795374,4.868695652
496,Breakdown,2809.213048,7.303043478
497,Breakdown,2785.36365,338.3743478
498,Breakdown,2783.764081,14.60608696
499,Inspection / Maintenance,2771.775441,14.60608696
500,Inspection / Maintenance,2768.578929,58.42434783
501,Breakdown,2764.817391,114.4143478
502,Breakdown,2756.17819,121.7173913
503,Breakdown,2754.272792,55.99
504,Breakdown,2746.85448,175.2730435
505,Breakdown,2744.02327,9.737391304
506,Breakdown,2740.732903,204.4852174
507,Retrofit,2737.789283,9.737391304
508,Accessories,2727.443304,4.868695652
509,Breakdown,2715.613927,19.47478261
510,Breakdown,2701.332234,172.8386957
511,Breakdown,2690.521906,36.51521739
512,Breakdown,2686.635791,21.90913043
513,Breakdown,2686.148423,4.868695652
514,Breakdown,2684.464743,53.55565217
515,Inspection / Maintenance,2667.882754,1034.597826
516,Breakdown,2649.542628,92.50521739
517,Breakdown,2641.696966,21.90913043
518,Breakdown,2624.20848,360.2834783
519,Breakdown,2621.4823,31.64652174
520,Installation / Commissioning,2614.076916,19.47478261
521,Breakdown,2611.313929,21.90913043
522,Breakdown,2608.712751,19.47478261
523,Breakdown,2606.343444,24.34347826
524,Breakdown,2582.658897,136.3234783
525,Inspection / Maintenance,2567.117157,131.4547826
526,Breakdown,2564.228002,163.1013043
527,Breakdown,2561.167423,372.4552174
528,Breakdown,2554.102293,14.60608696
529,Breakdown,2550.092141,133.8891304
530,Breakdown,2534.67924,46.2526087
531,Breakdown,2528.800522,2.434347826
532,Breakdown,2513.492216,202.0508696
533,Accessories,2499.101478,2.434347826
534,Breakdown,2495.963278,143.6265217
535,Breakdown,2494.435513,17.04043478
536,Breakdown,2477.365788,55.99
537,Inspection / Maintenance,2472.382354,60.85869565
538,Breakdown,2463.054936,17.04043478
539,Breakdown,2401.139906,31.64652174
540,Breakdown,2392.499655,60.85869565
541,Breakdown,2384.051422,21.90913043
542,Breakdown,2354.716387,9.737391304
543,Breakdown,2346.15593,14.60608696
544,Breakdown,2341.145877,14.60608696
545,Breakdown,2312.872593,75.46478261
546,Breakdown,2310.549068,21.90913043
547,Breakdown,2286.823549,9.737391304
548,Breakdown,2283.789531,917.7491304
549,Breakdown,2282.78533,34.08086957
550,Breakdown,2282.306247,17.04043478
551,Welding,2279.968875,41.38391304
552,Breakdown,2259.026753,36.51521739
553,Installation / Commissioning,2251.920578,12.17173913
554,Breakdown,2237.930071,4.868695652
555,Breakdown,2237.184239,109.5456522
556,Breakdown,2235.652587,301.8591304
557,Breakdown,2235.572726,4.868695652
558,Inspection / Maintenance,2235.425664,2.434347826
559,Breakdown,2206.207297,9.737391304
560,Breakdown,2185.458409,31.64652174
561,Breakdown,2182.952726,17.04043478
562,Breakdown,2174.476497,730.3043478
563,Breakdown,2173.153262,4.868695652
564,Inspection / Maintenance,2171.091618,2.434347826
565,Inspection / Maintenance,2162.975361,60.85869565
566,Breakdown,2152.007821,177.7073913
567,Breakdown,2135.688399,63.29304348
568,Breakdown,2131.904452,58.42434783
569,Breakdown,2131.904452,51.12130435
570,Inspection / Maintenance,2127.20338,48.68695652
571,Breakdown,2110.225922,73.03043478
572,Breakdown,2109.395562,209.353913
573,Breakdown,2072.482022,4.868695652
574,Installation / Commissioning,2066.761304,24.34347826
575,Breakdown,2056.918105,4.868695652
576,Breakdown,2056.071488,68.16173913
577,Inspection / Maintenance,2055.799911,12.17173913
578,Breakdown,2047.500975,233.6973913
579,Breakdown,2044.727623,36.51521739
580,Inspection / Maintenance,2040.535452,68.16173913
581,Breakdown,2036.660957,12.17173913
582,Installation / Commissioning,2036.568332,31.64652174
583,Breakdown,2030.78321,559.9
584,Breakdown,2029.684843,508.7786957
585,Breakdown,2027.700973,63.29304348
586,Breakdown,2015.15313,4.868695652
587,Retrofit,2015.055757,14.60608696
588,Inspection / Maintenance,2002.048195,94.93956522
589,Breakdown,2001.062326,2.434347826
590,Breakdown,1983.750043,2.434347826
591,Breakdown,1980.118739,4.868695652
592,Breakdown,1974.760463,202.0508696
593,Breakdown,1972.115551,48.68695652
594,Breakdown,1971.359213,7.303043478
595,Breakdown,1967.942073,60.85869565
596,Breakdown,1967.596278,4.868695652
597,Inspection / Maintenance,1962.343089,48.68695652
598,Accessories,1953.459392,2.434347826
599,Breakdown,1951.797523,21.90913043
600,Breakdown,1951.086568,17.04043478
601,Breakdown,1950.499528,4.868695652
602,Breakdown,1948.434969,1010.254348
603,Inspection / Maintenance,1945.946982,21.90913043
604,Breakdown,1936.665643,19.47478261
605,Breakdown,1934.425308,7.303043478
606,Breakdown,1922.274803,55.99
607,Breakdown,1921.778207,187.4447826
608,Breakdown,1913.13552,24.34347826
609,Inspection / Maintenance,1910.18264,41.38391304
610,Breakdown,1901.749415,4.868695652
611,Breakdown,1899.010916,501.4756522
612,Breakdown,1892.507468,26.77782609
613,Breakdown,1889.319094,14.60608696
614,Breakdown,1889.0967,657.273913
615,Breakdown,1888.980883,43.81826087
616,Breakdown,1887.571461,703.5265217
617,Breakdown,1882.642957,221.5256522
618,Breakdown,1875.845761,236.1317391
619,Installation / Commissioning,1874.447826,2.434347826
620,Breakdown,1871.058312,9.737391304
621,Breakdown,1861.510344,119.2830435
622,Installation / Commissioning,1861.410086,51.12130435
623,Breakdown,1859.780349,38.94956522
624,Breakdown,1838.610516,29.21217391
625,Inspection / Maintenance,1825.199506,21.90913043
626,Breakdown,1823.795971,255.6065217
627,Inspection / Maintenance,1821.316575,2.434347826
628,Breakdown,1813.491757,9.737391304
629,Breakdown,1812.38394,124.1517391
630,Breakdown,1811.37318,4.868695652
631,Breakdown,1800.426564,43.81826087
632,Breakdown,1789.495133,21.90913043
633,Installation / Commissioning,1787.737003,14.60608696
634,Breakdown,1785.619947,12.17173913
635,Breakdown,1767.160327,14.60608696
636,Breakdown,1764.013751,38.94956522
637,Breakdown,1760.95853,48.68695652
638,Breakdown,1755.714616,19.47478261
639,Breakdown,1747.677031,34.08086957
640,Breakdown,1744.143088,43.81826087
641,Breakdown,1738.010486,97.37391304
642,Retrofit,1737.368408,4.868695652
643,Breakdown,1736.045367,12.17173913
644,Inspection / Maintenance,1730.438805,63.29304348
645,Breakdown,1725.046002,143.6265217
646,Breakdown,1724.363233,24.34347826
647,Breakdown,1724.102608,21.90913043
648,Inspection / Maintenance,1722.588371,58.42434783
649,Breakdown,1720.086446,53.55565217
650,Breakdown,1717.158091,14.60608696
651,Retrofit,1714.476629,4.868695652
652,Breakdown,1707.847615,4.868695652
653,Retrofit,1706.429139,14.60608696
654,Breakdown,1697.178617,2.434347826
655,Breakdown,1690.264905,119.2830435
656,Installation / Commissioning,1689.461539,9.737391304
657,Installation / Commissioning,1680.953972,2.434347826
658,Breakdown,1670.838974,14.60608696
659,Breakdown,1669.08687,219.0913043
660,Breakdown,1668.645228,12.17173913
661,Breakdown,1667.909164,4.868695652
662,Installation / Commissioning,1667.187452,4.868695652
663,Breakdown,1665.118257,4.868695652
664,Breakdown,1662.600789,12.17173913
665,Breakdown,1658.799556,65.7273913
666,Inspection / Maintenance,1653.876383,34.08086957
667,Breakdown,1643.855218,2.434347826
668,Inspection / Maintenance,1643.79337,12.17173913
669,Breakdown,1636.271235,12.17173913
670,Breakdown,1635.347289,104.6769565
