serial_number,model,energy_type,machine_size,machine_type,unknow_feature,average_time_between_service,avg_serv_costs,days_to_first_serv,installation_year,Accessories,Breakdown,Inspection / Maintenance,Instruction,Retrofit,Transport damages,Welding
308,E62SH,Electric,62,Single,H,139,434.1031902,368,2015,0,7,0,0,0,0,0
309,E62SH,Electric,62,Single,H,111,528.6522213,176,2016,0,7,0,0,0,0,0
310,E62SH,Electric,62,Single,H,103,408.5813272,5,2015,0,7,0,0,0,0,0
311,E62SH,Electric,62,Single,H,113,294.6423619,28,2015,0,7,0,0,0,0,0
312,E62SH,Electric,62,Single,H,131,571.8751809,120,2015,0,7,0,0,0,0,0
313,E62SH,Electric,62,Single,H,113,443.1876462,101,2016,0,7,1,0,0,0,0
314,E62SH,Electric,62,Single,H,113,411.8612622,169,2015,0,7,0,0,0,0,0
315,E62SH,Electric,62,Single,H,117,309.1671626,59,2016,0,7,0,0,0,0,0
316,E62SH,Electric,62,Single,H,98,300.6511572,265,2016,0,7,1,0,0,0,0
317,E62SH,Electric,62,Single,H,113,446.7504308,10,2016,0,7,0,0,0,0,0
318,E62SH,Electric,62,Single,H,132,354.8469875,97,2016,0,7,0,0,0,0,0
319,E62SH,Electric,62,Single,H,98,335.4851295,66,2016,0,7,1,0,0,0,0
320,E62SH,Electric,62,Single,H,131,352.8900166,48,2016,0,7,0,0,0,0,0
321,E62SH,Electric,62,Single,H,80,344.4862115,44,2016,0,7,0,0,0,0,0
322,E62SH,Electric,62,Single,H,120,369.6147819,8,2016,0,7,0,0,0,0,0
323,E62SH,Electric,62,Single,H,90,296.4626158,9,2016,0,7,0,0,0,0,0
324,E62SH,Electric,62,Single,H,81,283.3855207,6,2016,0,7,0,0,0,0,0
325,E62SI,Electric,62,Single,I,63,428.6128159,45,2017,0,7,0,0,0,0,0
326,G11MH,Gas,101,Mult,H,351,162.2246906,316,2015,0,7,0,0,0,0,0
327,E11SH,Electric,101,Single,H,17,182.4283333,46,2015,0,6,0,0,0,0,0
328,E11SH,Electric,101,Single,H,229,241.595,78,2018,0,6,2,0,0,0,0
329,E11SH,Electric,101,Single,H,175,342.9177778,0,2014,0,6,5,0,0,0,0
330,E11SH,Electric,101,Single,H,286,243.9933333,364,2014,0,6,2,0,0,0,0
331,E11SH,Electric,101,Single,H,289,445.815,0,2014,1,6,4,0,0,0,0
332,E11SH,Electric,101,Single,H,159,337.867,0,2014,1,6,4,0,0,0,0
333,E11SH,Electric,101,Single,H,205,311.46125,176,2014,0,6,3,0,0,0,0
334,E11SH,Electric,101,Single,H,266,652.196,210,2014,1,6,4,0,0,0,0
335,E11SH,Electric,101,Single,H,237,405.0814286,324,2014,0,6,3,0,0,0,0
336,E11SH,Electric,101,Single,H,348,370.524,183,2014,0,6,1,0,0,0,0
337,E11SH,Electric,101,Single,H,150,360.989,92,2014,0,6,3,0,0,0,0
338,E11SH,Electric,101,Single,H,137,410.36,139,2014,1,6,3,0,0,0,0
339,E11SH,Electric,101,Single,H,102,680.3449534,19,2014,3,6,3,0,0,0,0
340,E11SH,Electric,101,Single,H,170,399.7176664,122,2014,0,6,1,0,0,0,0
341,E11SH,Electric,101,Single,H,140,604.7711111,50,2014,2,6,3,0,0,0,0
342,E11SH,Electric,101,Single,H,135,363.0681818,18,2018,1,6,3,0,3,0,0
343,E11SH,Electric,101,Single,H,163,531.335,54,2014,2,6,3,0,1,0,0
344,E11SH,Electric,101,Single,H,160,798.0305784,0,2014,1,6,1,0,0,0,0
345,E11SH,Electric,101,Single,H,69,124.885,62,2015,0,6,0,0,0,0,0
346,E11SH,Electric,101,Single,H,320,419.645,245,2015,0,6,1,0,1,0,0
347,E12SH,Electric,102,Single,H,154,655.5468527,196,2015,0,6,0,0,0,0,0
348,E12SH,Electric,102,Single,H,254,447.1898846,201,2014,0,6,0,0,0,0,0
349,E12SH,Electric,102,Single,H,236,405.4902178,83,2015,0,6,0,0,0,0,0
350,E12SH,Electric,102,Single,H,177,673.4203339,44,2015,0,6,0,0,0,0,0
351,E12SH,Electric,102,Single,H,184,449.7078235,43,2015,0,6,0,0,0,0,0
352,E12SH,Electric,102,Single,H,177,498.2700372,16,2015,0,6,0,0,0,0,0
353,E12SH,Electric,102,Single,H,193,573.7817454,320,2015,0,6,0,0,0,0,0
354,E12SH,Electric,102,Single,H,102,352.4881585,81,2015,0,6,3,0,0,0,0
355,E12SH,Electric,102,Single,H,181,836.7783213,342,2015,0,6,0,0,0,0,0
356,E12SH,Electric,102,Single,H,150,315.6138529,22,2015,0,6,0,0,1,0,0
357,E12SH,Electric,102,Single,H,164,327.0559988,42,2015,0,6,0,0,0,0,0
358,E12SH,Electric,102,Single,H,198,422.9350934,156,2015,0,6,0,0,0,0,0
359,E12SH,Electric,102,Single,H,133,903.7843779,22,2016,0,6,1,0,0,0,0
360,E12SH,Electric,102,Single,H,229,349.7926602,385,2015,0,6,0,0,0,0,0
361,E12SH,Electric,102,Single,H,133,665.9279754,2,2015,0,6,0,0,0,0,0
362,E12SH,Electric,102,Single,H,153,376.0979081,48,2015,0,6,0,0,0,0,0
363,E12SH,Electric,102,Single,H,137,301.9001073,54,2015,0,6,0,0,0,0,0
364,E12SH,Electric,102,Single,H,180,651.0087105,77,2016,0,6,0,0,0,0,0
365,E12SH,Electric,102,Single,H,144,421.2759304,4,2016,0,6,0,0,0,0,0
366,E12SH,Electric,102,Single,H,148,261.1400275,87,2015,0,6,0,0,0,0,0
367,E12SH,Electric,102,Single,H,131,354.4922322,8,2016,0,6,0,0,0,0,0
368,E12SH,Electric,102,Single,H,162,513.445615,88,2016,0,6,0,0,0,0,0
369,E12SH,Electric,102,Single,H,128,276.8265506,52,2016,0,6,0,0,0,0,0
370,E12SH,Electric,102,Single,H,127,654.9791686,44,2016,0,6,0,0,0,0,0
371,E12SH,Electric,102,Single,H,199,326.9514927,1,2016,0,6,0,0,0,0,0
372,E12SH,Electric,102,Single,H,91,361.0676055,213,2016,0,6,0,0,0,0,0
373,E12SI,Electric,102,Single,I,59,393.7029988,111,2017,0,6,0,0,0,0,0
374,E12SI,Electric,102,Single,I,89,324.8935331,12,2017,0,6,0,0,0,0,0
375,E12SI,Electric,102,Single,I,64,487.2592178,28,2017,0,6,0,0,0,0,0
376,E61SH,Electric,61,Single,H,109,30.22,90,2017,0,4,6,0,0,0,0
377,E61SH,Electric,61,Single,H,178,129.8555556,0,2017,1,6,2,0,0,0,0
378,E61SH,Electric,61,Single,H,115,157.7,329,2014,0,6,0,0,0,0,0
379,E61SI,Electric,61,Single,I,83,285.04817,67,2017,0,6,0,0,0,0,0
380,E61SI,Electric,61,Single,I,36,238.4612874,13,2017,0,6,2,0,0,0,0
381,E61SI,Electric,61,Single,I,83,52.12412679,32,2017,0,6,0,0,0,0,0
382,E62SH,Electric,62,Single,H,237,290.1643081,102,2014,0,6,0,0,0,0,0
383,E62SH,Electric,62,Single,H,197,296.2800073,49,2015,0,6,0,0,0,0,0
384,E62SH,Electric,62,Single,H,123,342.0116157,12,2016,0,6,0,0,0,0,0
385,E62SH,Electric,62,Single,H,194,443.6939952,76,2015,0,6,0,0,0,0,0
386,E62SH,Electric,62,Single,H,152,692.441933,191,2015,0,6,0,0,0,0,0
387,E62SH,Electric,62,Single,H,177,363.5587944,498,2015,0,6,0,0,0,0,0
388,E62SH,Electric,62,Single,H,161,472.1193685,110,2015,0,6,0,0,0,0,0
389,E62SH,Electric,62,Single,H,156,323.738615,101,2015,0,6,0,0,0,0,0
390,E62SH,Electric,62,Single,H,141,605.891341,40,2015,0,6,0,0,0,0,0
391,E62SH,Electric,62,Single,H,127,568.6346325,152,2016,0,6,0,0,0,0,0
392,E62SH,Electric,62,Single,H,126,838.9901743,324,2016,0,6,1,0,0,0,0
393,E62SH,Electric,62,Single,H,127,372.3944707,40,2015,0,6,0,0,0,0,0
394,E62SH,Electric,62,Single,H,125,661.594956,144,2015,0,6,0,0,0,0,0
395,E62SH,Electric,62,Single,H,126,368.0950652,223,2015,0,6,0,0,0,0,0
396,E62SH,Electric,62,Single,H,114,789.2466961,31,2016,0,6,1,0,0,0,0
397,E62SH,Electric,62,Single,H,166,605.6791013,70,2016,0,6,0,0,0,0,0
398,E62SH,Electric,62,Single,H,124,342.1291685,157,2016,0,6,0,0,0,0,0
399,E62SH,Electric,62,Single,H,140,398.5415678,17,2016,0,6,0,0,0,0,0
400,E62SH,Electric,62,Single,H,124,464.8275326,24,2016,0,6,0,0,0,0,0
401,E62SH,Electric,62,Single,H,136,512.7770703,78,2016,0,6,0,0,0,0,0
402,E62SH,Electric,62,Single,H,147,450.692706,67,2016,0,6,0,0,0,0,0
403,E62SH,Electric,62,Single,H,101,369.8618134,176,2017,0,6,0,0,0,0,0
404,E62SI,Electric,62,Single,I,22,361.2543218,54,2018,0,6,0,0,0,0,0
405,G12SI,Gas,102,Single,I,89,70.21439229,83,2018,0,6,0,0,1,0,0
406,E11SG,Electric,101,Single,G,75,333.622,215,2016,0,5,0,0,0,0,0
407,E11SH,Electric,101,Single,H,401,412.866,181,2018,0,2,5,0,0,0,0
408,E11SH,Electric,101,Single,H,168,376.386,81,2014,3,5,5,0,0,0,0
409,E11SH,Electric,101,Single,H,234,233.7014286,0,2014,0,5,2,0,0,0,0
410,E11SH,Electric,101,Single,H,293,272.055,31,2014,0,5,2,0,0,0,0
411,E11SH,Electric,101,Single,H,238,382.6285714,3,2014,1,5,2,0,1,0,0
412,E11SH,Electric,101,Single,H,211,466.35,37,2014,0,5,1,0,1,0,0
413,E11SH,Electric,101,Single,H,238,457.9785714,320,2014,0,5,4,0,0,0,0
414,E11SH,Electric,101,Single,H,267,539.396,670,2014,0,5,3,0,0,0,0
415,E11SH,Electric,101,Single,H,232,408.28,20,2014,0,5,2,0,0,0,0
416,E11SH,Electric,101,Single,H,156,584.09,0,2014,0,5,3,0,1,0,0
417,E11SH,Electric,101,Single,H,250,371.16,117,2014,0,5,2,0,0,0,0
418,E11SH,Electric,101,Single,H,445,460.08,236,2018,0,5,1,0,0,0,0
419,E11SH,Electric,101,Single,H,144,158.3085714,63,2018,0,5,1,0,2,0,0
420,E11SH,Electric,101,Single,H,159,424.81125,0,2014,0,5,3,0,1,0,0
421,E11SH,Electric,101,Single,H,128,471.7253128,33,2015,1,5,3,0,2,0,0
422,E11SH,Electric,101,Single,H,374,409.4225,0,2015,0,5,2,0,1,0,0
423,E11SH,Electric,101,Single,H,115,384.31,78,2015,1,5,3,0,1,0,0
424,E11SH,Electric,101,Single,H,207,505.18,34,2015,1,5,2,0,0,0,0
425,E11SH,Electric,101,Single,H,148,383.87375,314,2015,0,5,2,0,0,0,0
426,E11SH,Electric,101,Single,H,147,437.3316667,2,2015,1,5,2,0,0,0,0
427,E11SH,Electric,101,Single,H,95,120.746,125,2016,1,5,2,0,1,0,0
428,E11SI,Electric,101,Single,I,465,61.48161869,465,2016,0,5,0,0,1,0,0
429,E12SE,Electric,102,Single,E,1,663.5429218,1,2017,0,5,0,0,0,0,0
430,E12SH,Electric,102,Single,H,187,526.2170854,187,2015,0,5,1,0,0,0,0
431,E12SH,Electric,102,Single,H,270,256.7926753,35,2014,0,5,0,0,0,0,0
432,E12SH,Electric,102,Single,H,159,623.3781707,13,2015,0,5,0,0,0,0,0
433,E12SH,Electric,102,Single,H,141,345.2165185,34,2015,0,5,0,0,0,0,0
434,E12SH,Electric,102,Single,H,199,648.4772811,38,2015,0,5,0,0,0,0,0
435,E12SH,Electric,102,Single,H,197,349.634959,355,2015,0,5,0,0,0,0,0
436,E12SH,Electric,102,Single,H,226,294.2607241,50,2015,0,5,0,0,0,0,0
437,E12SH,Electric,102,Single,H,210,791.1546759,289,2015,0,5,0,0,0,0,0
438,E12SH,Electric,102,Single,H,231,410.880262,15,2015,0,5,0,0,0,0,0
439,E12SH,Electric,102,Single,H,197,513.9777708,208,2015,0,5,0,0,0,0,0
440,E12SH,Electric,102,Single,H,175,354.3383013,293,2015,0,5,0,0,0,0,0
441,E12SH,Electric,102,Single,H,187,275.6763315,63,2015,0,5,0,0,0,0,0
442,E12SH,Electric,102,Single,H,173,289.8463464,84,2015,0,5,0,0,0,0,0
443,E12SH,Electric,102,Single,H,176,732.6196666,73,2015,0,5,0,0,0,0,0
444,E12SH,Electric,102,Single,H,148,237.5364982,133,2015,0,5,0,0,0,0,0
445,E12SH,Electric,102,Single,H,230,628.2839548,151,2016,0,5,0,0,0,0,0
446,E12SH,Electric,102,Single,H,181,206.3176913,265,2016,0,5,0,0,0,0,0
447,E12SH,Electric,102,Single,H,220,368.3556972,189,2016,0,5,0,0,0,0,0
448,E12SH,Electric,102,Single,H,152,403.6619823,172,2016,0,5,0,0,0,0,0
449,E12SH,Electric,102,Single,H,162,255.1215208,42,2015,0,5,0,0,0,0,0
450,E12SH,Electric,102,Single,H,216,294.1785253,47,2016,0,5,0,0,0,0,0
451,E12SH,Electric,102,Single,H,128,463.927519,131,2016,0,5,0,0,0,0,0
452,E12SH,Electric,102,Single,H,154,463.0721092,18,2016,0,5,0,0,0,0,0
453,E12SH,Electric,102,Single,H,66,296.4903691,71,2016,0,5,1,0,0,0,0
454,E12SH,Electric,102,Single,H,141,315.7513161,50,2016,0,5,0,0,0,0,0
455,E12SH,Electric,102,Single,H,121,556.7423367,60,2017,0,5,0,0,0,0,0
456,E12SH,Electric,102,Single,H,130,560.4708965,7,2016,0,5,0,0,0,0,0
457,E12SH,Electric,102,Single,H,116,517.0510172,43,2016,0,5,0,0,0,0,0
458,E12SH,Electric,102,Single,H,104,260.1553926,59,2016,0,5,0,0,0,0,0
459,E12SI,Electric,102,Single,I,60,767.8728332,63,2017,0,5,0,0,0,0,0
460,E12SI,Electric,102,Single,I,85,397.822029,91,2017,0,5,0,0,0,0,0
461,E61MH,Electric,61,Mult,H,172,84.18074398,245,2015,0,5,1,0,0,0,0
462,E61MH,Electric,61,Mult,H,135,161.27,252,2015,0,5,0,0,0,0,0
463,E61MH,Electric,61,Mult,H,161,40.79944735,264,2015,0,5,0,0,0,0,0
464,E61SH,Electric,61,Single,H,78,467.5866667,96,2014,0,5,0,0,0,0,0
465,E61SH,Electric,61,Single,H,82,286.6231281,75,2015,0,5,0,0,0,0,0
466,E61SH,Electric,61,Single,H,83,130.29,4,2015,0,5,0,0,0,0,0
467,E61SH,Electric,61,Single,H,274,506.11,181,2014,0,5,2,0,0,0,0
468,E61SH,Electric,61,Single,H,103,423.0675,384,2017,0,5,1,0,0,0,0
469,E61SH,Electric,61,Single,H,330,30.7370535,337,2015,0,5,0,0,1,0,0
470,E61SH,Electric,61,Single,H,147,474.5278648,0,2015,0,5,2,0,0,0,0
471,E61SH,Electric,61,Single,H,102,554.970976,255,2015,0,5,3,0,0,0,0
472,E61SH,Electric,61,Single,H,98,250.5486812,73,2016,0,5,0,0,0,0,0
473,E61SH,Electric,61,Single,H,134,166.5177455,294,2017,0,5,0,0,0,0,0
474,E61SH,Electric,61,Single,H,159,130.14,546,2016,0,5,0,0,0,0,0
475,E61SI,Electric,61,Single,I,100,127.2953012,412,2017,0,5,0,0,0,0,0
476,E61SI,Electric,61,Single,I,87,121.510425,16,2017,0,5,0,0,0,0,0
477,E61SI,Electric,61,Single,I,12,85.828,2,2017,0,0,0,5,0,0,0
478,E62SH,Electric,62,Single,H,123,463.7390138,8,2016,0,5,0,0,0,0,0
479,E62SH,Electric,62,Single,H,320,467.6864217,130,2014,0,5,0,0,0,0,0
480,E62SH,Electric,62,Single,H,267,665.6223362,319,2015,0,5,0,0,0,0,0
481,E62SH,Electric,62,Single,H,128,557.2078343,62,2015,0,5,0,0,0,0,0
482,E62SH,Electric,62,Single,H,241,739.4117041,163,2015,0,5,0,0,0,0,0
483,E62SH,Electric,62,Single,H,107,270.0344293,147,2017,0,5,0,0,0,0,0
484,E62SH,Electric,62,Single,H,176,488.229624,75,2015,0,5,0,0,0,0,0
485,E62SH,Electric,62,Single,H,237,354.2874186,70,2015,0,5,0,0,0,0,0
486,E62SH,Electric,62,Single,H,179,453.1128177,79,2015,0,5,0,0,0,0,0
487,E62SH,Electric,62,Single,H,190,503.1268426,32,2015,0,5,0,0,0,0,0
488,E62SH,Electric,62,Single,H,231,514.0485883,277,2015,0,5,0,0,0,0,0
489,E62SH,Electric,62,Single,H,196,433.1815511,23,2015,0,5,0,0,0,0,0
490,E62SH,Electric,62,Single,H,174,500.0244167,289,2016,0,5,0,0,0,0,0
491,E62SH,Electric,62,Single,H,261,364.8113722,135,2016,0,5,0,0,0,0,0
492,E62SH,Electric,62,Single,H,178,610.3373365,212,2015,0,5,0,0,0,0,0
493,E62SH,Electric,62,Single,H,148,386.7379966,125,2016,0,5,0,0,0,0,0
494,E62SH,Electric,62,Single,H,154,448.3842181,21,2016,0,5,0,0,0,0,0
495,E62SH,Electric,62,Single,H,78,347.2104673,171,2018,0,5,0,0,0,0,0
496,E62SH,Electric,62,Single,H,134,288.5020091,63,2016,0,5,0,0,0,0,0
497,E62SH,Electric,62,Single,H,130,385.21116,4,2016,0,5,0,0,0,0,0
498,E62SH,Electric,62,Single,H,115,339.130709,10,2016,0,5,0,0,0,0,0
499,E62SH,Electric,62,Single,H,94,398.2771795,123,2016,0,5,0,0,0,0,0
500,E62SH,Electric,62,Single,H,95,281.9351424,43,2016,0,5,0,0,0,0,0
501,E62SI,Electric,62,Single,I,63,517.4785635,188,2017,0,5,0,0,0,0,0
502,E62SI,Electric,62,Single,I,50,297.3356888,100,2017,0,5,0,0,0,0,0
503,E62SI,Electric,62,Single,I,19,362.9428238,39,2018,0,5,0,0,0,0,0
504,G22MH,Gas,202,Mult,H,107,91.39500748,74,2015,0,5,0,0,0,0,0
505,E11SH,Electric,101,Single,H,149,187.335,231,2017,1,4,2,0,0,0,0
506,E11SH,Electric,101,Single,H,477,256.2025,330,2014,0,4,2,0,0,0,0
507,E11SH,Electric,101,Single,H,250,434.1571429,90,2014,3,4,3,0,0,0,0
508,E11SH,Electric,101,Single,H,369,467.884,359,2014,0,4,2,0,0,0,0
509,E11SH,Electric,101,Single,H,286,273.85,0,2014,1,4,2,0,1,0,0
510,E11SH,Electric,101,Single,H,361,226.37,377,2014,0,4,2,0,0,0,0
511,E11SH,Electric,101,Single,H,206,402.02375,307,2014,1,2,4,0,0,0,0
512,E11SH,Electric,101,Single,H,288,451.0083333,365,2014,0,1,4,0,0,0,0
513,E11SH,Electric,101,Single,H,288,470.1733333,87,2014,0,1,4,0,0,0,0
514,E11SH,Electric,101,Single,H,194,89.356,228,2014,0,4,0,0,0,0,0
515,E11SH,Electric,101,Single,H,286,334.5716667,204,2014,0,4,2,0,0,0,0
516,E11SH,Electric,101,Single,H,359,529.326,366,2014,0,2,4,0,0,0,0
517,E11SH,Electric,101,Single,H,187,383.8288889,27,2014,0,4,4,0,1,0,0
518,E11SH,Electric,101,Single,H,247,243.8842857,58,2014,2,4,2,0,0,0,0
519,E11SH,Electric,101,Single,H,203,294.82375,0,2014,0,4,4,0,0,0,0
520,E11SH,Electric,101,Single,H,281,466.1383333,120,2014,1,4,2,0,0,0,0
521,E11SH,Electric,101,Single,H,287,602.68,69,2014,0,2,4,0,0,0,0
522,E11SH,Electric,101,Single,H,224,524.8833333,51,2014,1,2,4,0,0,0,0
523,E11SH,Electric,101,Single,H,179,424.7455556,335,2017,0,4,4,0,0,0,0
524,E11SH,Electric,101,Single,H,237,544.5442857,11,2014,1,2,4,0,0,0,0
525,E11SH,Electric,101,Single,H,267,624.82,371,2014,0,4,3,0,0,0,0
526,E11SH,Electric,101,Single,H,363,90.31515196,368,2014,0,4,0,1,0,0,0
527,E11SH,Electric,101,Single,H,215,580.4266667,190,2014,0,4,3,0,0,0,0
528,E11SH,Electric,101,Single,H,182,560.77,18,2014,1,4,3,0,0,0,0
529,E11SH,Electric,101,Single,H,369,393.325,727,2014,0,4,1,0,0,0,0
530,E11SH,Electric,101,Single,H,152,783.4992635,8,2014,0,4,3,0,0,0,0
531,E11SH,Electric,101,Single,H,134,818.8934949,258,2014,1,4,3,0,0,0,0
532,E11SH,Electric,101,Single,H,275,622.948,357,2014,0,4,3,0,0,0,0
533,E11SH,Electric,101,Single,H,197,273.7171429,2,2014,1,4,1,0,1,0,0
534,E11SH,Electric,101,Single,H,261,418.1677599,194,2014,0,4,1,0,0,0,0
535,E11SH,Electric,101,Single,H,147,812.0600056,21,2014,2,4,2,0,0,0,0
536,E11SH,Electric,101,Single,H,158,450.50375,0,2014,0,4,3,0,1,0,0
537,E11SH,Electric,101,Single,H,182,545.2157143,0,2014,0,4,3,0,1,0,0
538,E11SH,Electric,101,Single,H,186,431.2685714,0,2014,0,4,2,0,1,0,0
539,E11SH,Electric,101,Single,H,150,241.1,0,2016,0,4,2,0,1,0,0
540,E11SH,Electric,101,Single,H,123,524.8142387,42,2015,0,4,3,0,2,0,0
541,E11SH,Electric,101,Single,H,178,380.3666667,6,2017,0,4,1,0,0,0,0
542,E11SH,Electric,101,Single,H,214,288.496,302,2017,0,4,0,0,0,0,0
543,E11SH,Electric,101,Single,H,121,509.698457,1,2015,2,4,3,0,2,0,0
544,E11SH,Electric,101,Single,H,114,507.0020195,0,2015,1,2,4,0,2,0,0
545,E11SH,Electric,101,Single,H,125,351.424,41,2015,2,4,3,0,1,0,0
546,E11SH,Electric,101,Single,H,120,427.445,0,2015,1,4,3,0,1,0,0
547,E11SH,Electric,101,Single,H,271,367.858,0,2015,0,4,2,0,1,0,0
548,E11SH,Electric,101,Single,H,96,315.3076923,67,2015,4,3,3,0,2,0,0
549,E11SH,Electric,101,Single,H,128,387.02,71,2015,2,4,3,0,1,0,0
550,E11SH,Electric,101,Single,H,137,703.1189158,25,2015,0,4,3,0,1,0,0
551,E11SH,Electric,101,Single,H,147,442.2628571,84,2015,1,4,1,0,1,0,0
552,E11SH,Electric,101,Single,H,176,607.8166667,131,2015,4,1,1,0,0,0,0
553,E11SH,Electric,101,Single,H,154,742.4228571,220,2015,2,4,2,0,0,0,0
554,E11SH,Electric,101,Single,H,138,639.215682,218,2015,1,4,2,0,0,0,0
555,E11SH,Electric,101,Single,H,180,478.5766667,203,2015,1,4,2,0,0,0,0
556,E11SH,Electric,101,Single,H,7,137.874,4,2018,1,4,0,0,0,0,0
557,E11SI,Electric,101,Single,I,102,155.7415504,41,2017,0,4,1,0,0,0,0
558,E12SH,Electric,102,Single,H,287,591.4294213,232,2015,0,4,0,0,0,0,0
559,E12SH,Electric,102,Single,H,233,489.9286848,208,2014,0,4,0,0,0,0,0
560,E12SH,Electric,102,Single,H,99,305.3849451,98,2017,0,4,0,0,0,0,0
561,E12SH,Electric,102,Single,H,264,264.9709195,220,2015,0,4,0,0,0,0,0
562,E12SH,Electric,102,Single,H,266,857.6159468,70,2015,0,4,0,0,0,0,0
563,E12SH,Electric,102,Single,H,215,303.0958209,75,2016,0,4,0,0,0,0,0
564,E12SH,Electric,102,Single,H,168,215.3043309,165,2016,0,4,0,0,0,0,0
565,E12SH,Electric,102,Single,H,245,531.4850825,23,2015,0,4,0,0,0,0,0
566,E12SH,Electric,102,Single,H,227,919.5868811,104,2015,0,4,0,0,0,0,0
567,E12SH,Electric,102,Single,H,282,312.1730717,138,2016,0,4,0,0,0,0,0
568,E12SH,Electric,102,Single,H,129,375.9577714,48,2015,0,4,1,0,0,0,0
569,E12SH,Electric,102,Single,H,219,806.9185172,315,2016,0,4,0,0,0,0,0
570,E12SH,Electric,102,Single,H,187,338.9245336,525,2015,0,4,0,0,0,0,0
571,E12SH,Electric,102,Single,H,187,365.8167831,89,2016,0,4,0,0,0,0,0
572,E12SH,Electric,102,Single,H,285,351.5212662,84,2015,0,4,0,0,0,0,0
573,E12SH,Electric,102,Single,H,205,387.6820704,21,2016,0,4,0,0,0,0,0
574,E12SH,Electric,102,Single,H,218,437.171429,81,2016,0,4,0,0,0,0,0
575,E12SH,Electric,102,Single,H,140,840.7198689,70,2016,0,4,0,0,0,0,0
576,E12SH,Electric,102,Single,H,248,354.5606758,167,2016,0,4,0,0,0,0,0
577,E12SH,Electric,102,Single,H,127,484.1796998,50,2016,0,4,0,0,0,0,0
578,E12SH,Electric,102,Single,H,157,790.5281616,230,2016,0,4,0,0,0,0,0
579,E12SH,Electric,102,Single,H,121,308.716115,15,2016,0,4,0,0,0,0,0
580,E12SH,Electric,102,Single,H,165,292.0650184,153,2016,0,4,0,0,0,0,0
581,E12SI,Electric,102,Single,I,102,511.7334717,65,2017,0,4,0,0,0,0,0
582,E12SI,Electric,102,Single,I,105,911.7863572,91,2017,0,4,0,0,0,0,0
583,E21SH,Electric,201,Single,H,167,41.47711574,525,2016,0,4,1,0,1,0,0
584,E61SH,Electric,61,Single,H,851,84.09172197,851,2016,0,4,0,0,0,0,0
585,E61SH,Electric,61,Single,H,142,68.55155823,56,2015,0,4,0,0,0,0,0
586,E61SH,Electric,61,Single,H,124,273.1,322,2017,1,4,2,0,0,0,0
587,E61SH,Electric,61,Single,H,93,70.1715035,332,2015,0,4,0,0,0,0,0
588,E61SH,Electric,61,Single,H,145,916.17,335,2017,0,4,0,0,0,0,0
589,E61SH,Electric,61,Single,H,79,338.625,168,2017,0,4,1,0,0,0,0
590,E61SH,Electric,61,Single,H,185,455.2446184,34,2015,0,4,2,0,1,0,0
591,E61SH,Electric,61,Single,H,144,481.4489447,10,2015,0,4,2,0,0,0,0
592,E61SH,Electric,61,Single,H,74,183.786,142,2015,0,4,0,0,0,0,0
593,E61SH,Electric,61,Single,H,469,54.39047437,706,2015,0,0,4,0,1,0,0
594,E61SH,Electric,61,Single,H,314,66.74247531,684,2015,0,1,4,0,1,0,0
595,E61SH,Electric,61,Single,H,159,484.145565,54,2017,0,4,0,0,0,0,0
596,E61SH,Electric,61,Single,H,51,427.436725,105,2017,0,4,0,0,0,0,0
597,E61SH,Electric,61,Single,H,121,474.0318173,113,2016,1,4,2,0,2,0,0
598,E61SH,Electric,61,Single,H,91,64.096,10,2017,0,4,0,0,0,0,0
599,E61SI,Electric,61,Single,I,37,367.8445504,32,2017,0,4,0,0,0,0,0
600,E62SH,Electric,62,Single,H,325,391.1064663,237,2014,0,4,0,0,0,0,0
601,E62SH,Electric,62,Single,H,294,464.2847671,195,2015,0,4,0,0,0,0,0
602,E62SH,Electric,62,Single,H,324,274.2472982,125,2015,0,4,0,0,0,0,0
603,E62SH,Electric,62,Single,H,252,386.7434675,40,2015,0,4,0,0,0,0,0
604,E62SH,Electric,62,Single,H,255,453.6101785,250,2015,0,4,0,0,0,0,0
605,E62SH,Electric,62,Single,H,208,640.115892,84,2016,0,4,0,0,0,0,0
606,E62SH,Electric,62,Single,H,204,383.8915898,43,2016,0,4,0,0,1,0,0
607,E62SH,Electric,62,Single,H,204,552.4299657,19,2016,0,4,0,0,0,0,0
608,E62SH,Electric,62,Single,H,194,392.0353869,0,2016,0,4,0,0,1,0,0
609,E62SH,Electric,62,Single,H,243,1013.788615,81,2016,0,4,0,0,0,0,0
610,E62SH,Electric,62,Single,H,216,291.4892678,448,2016,0,4,0,0,0,0,0
611,E62SH,Electric,62,Single,H,135,672.5204347,110,2016,0,4,0,0,0,0,0
612,E62SH,Electric,62,Single,H,156,621.3290593,41,2016,0,4,0,0,0,0,0
613,E62SH,Electric,62,Single,H,304,471.4028918,204,2016,0,4,0,0,0,0,0
614,E62SH,Electric,62,Single,H,78,242.8097879,105,2016,0,4,0,0,0,0,0
615,E62SH,Electric,62,Single,H,143,414.5055998,273,2016,0,4,0,0,0,0,0
616,E62SI,Electric,62,Single,I,63,477.7307735,203,2017,0,4,0,0,0,0,0
617,E62SI,Electric,62,Single,I,96,621.9501308,15,2017,0,4,0,0,0,0,0
618,E62SI,Electric,62,Single,I,140,293.8780423,381,2017,0,4,0,0,0,0,0
