"","average_time_between_service","avg_serv_costs","days_to_first_serv","breakdown","machine_size_102","machine_size_62","machine_size_61","machine_size_201","machine_size_202","usage_class"
"234",79,304.603257251,21,9,0,1,0,0,0,"6"
"235",70,313.981439998,20,9,0,1,0,0,0,"6"
"236",86,358.602122811111,48,9,0,1,0,0,0,"6"
"237",72,314.907850015556,41,9,0,1,0,0,0,"6"
"238",64,416.104697856,108,9,0,1,0,0,0,"6"
"239",153,290.7525,0,8,0,0,0,0,0,"6"
"240",188,342.365555555556,115,8,0,0,0,0,0,"6"
"241",118,568.599475774,362,8,0,0,0,0,0,"5"
"242",144,280.148888888889,76,8,0,0,0,0,0,"6"
"243",106,330.116,16,8,0,0,0,0,0,"6"
"244",202,435.35803626,38,8,1,0,0,0,0,"6"
"245",163,560.522385585,9,8,1,0,0,0,0,"5"
"246",56,192.230765935,199,8,1,0,0,0,0,"3"
"247",174,675.9012579875,293,8,1,0,0,0,0,"5"
"248",115,343.764506195556,6,8,1,0,0,0,0,"6"
"249",122,517.20229493,62,8,1,0,0,0,0,"5"
"250",109,569.10489648,112,8,1,0,0,0,0,"5"
"251",136,335.2955350125,69,8,1,0,0,0,0,"6"
"252",83,408.192192657,63,8,1,0,0,0,0,"6"
"253",84,276.457263688889,53,8,1,0,0,0,0,"6"
"254",101,314.940971157778,21,8,1,0,0,0,0,"6"
"255",119,781.432894425,24,8,1,0,0,0,0,"5"
"256",47,563.649895554444,87,8,1,0,0,0,0,"5"
"257",254,340.94,112,8,0,0,1,0,0,"6"
"258",80,448.347272727273,384,8,0,0,1,0,0,"1"
"259",135,302.42230479,225,8,0,1,0,0,0,"6"
"260",155,200.4403055925,20,8,0,1,0,0,0,"3"
"261",177,382.28072265,56,8,0,1,0,0,0,"6"
"262",137,445.232844016667,81,8,0,1,0,0,0,"6"
"263",176,572.8579148875,152,8,0,1,0,0,0,"5"
"264",114,264.295485506667,113,8,0,1,0,0,0,"6"
"265",156,538.7253593,72,8,0,1,0,0,0,"5"
"266",123,151.752335445556,29,8,0,1,0,0,0,"3"
"267",151,331.2887302375,30,8,0,1,0,0,0,"6"
"268",85,205.803492071111,16,8,0,1,0,0,0,"3"
"269",134,234.6627386875,7,8,0,1,0,0,0,"3"
"270",97,309.058924244444,159,8,0,1,0,0,0,"6"
"271",143,334.1076458075,105,8,0,1,0,0,0,"6"
"272",113,457.471348196,50,8,0,1,0,0,0,"6"
"273",97,377.6393634875,12,8,0,1,0,0,0,"6"
"274",100,686.702119093333,160,8,0,1,0,0,0,"5"
"275",139,393.797818882857,185,8,0,1,0,0,0,"6"
"276",81,312.10751246,12,8,0,1,0,0,0,"6"
"277",74,296.117352992222,64,8,0,1,0,0,0,"6"
"278",89,359.95100695875,250,8,0,1,0,0,0,"6"
"279",68,464.677396725714,2,8,0,1,0,0,0,"6"
"280",232,119.3546115925,455,8,0,0,0,1,0,"1"
"281",286,379.79,156,7,0,0,0,0,0,"6"
"282",138,406.893333333333,0,7,0,0,0,0,0,"6"
"283",221,453.881428571429,7,7,0,0,0,0,0,"6"
"284",14,345.946808675,0,7,1,0,0,0,0,"6"
"285",171,555.526286992857,37,7,1,0,0,0,0,"5"
"286",155,420.744599957143,90,7,1,0,0,0,0,"6"
"287",196,398.534708688333,430,7,1,0,0,0,0,"1"
"288",122,335.23157695,58,7,1,0,0,0,0,"6"
"289",158,543.809069057143,185,7,1,0,0,0,0,"5"
"290",125,282.22158787375,13,7,1,0,0,0,0,"6"
"291",154,308.872729541429,17,7,1,0,0,0,0,"6"
"292",114,364.5835801,116,7,1,0,0,0,0,"6"
